Identifier,Repeat no,Display Name,Device identifier,Instance,Submission Date,Submitter,Duration,Form version,4.1 What is the level of E. coli in the water? - Health Risk Category (Based on MPN and Confidence Interval),MPN(MPN/100ml),Upper 95% Confidence Interval,4.1 What is the level of E. coli in the water? --Image
wdxy-43ae-d6hr,1,Gathima,WB RM 15,122200004,26-09-2018 09:45:00 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/640eeb86-4333-4760-8ee8-dadd8272deef.jpg
x0jk-axdm-pgyk,1,Kinamba dam,WB RM 15,143560002,26-09-2018 09:47:53 UTC,M. Ngotho Muiruri,00:00:05,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/d9521425-8531-413f-9d8d-7ac3c7b405e5.jpg
1hx8-msf2-h241,1,Jebi dam,WB RM 15,133970003,26-09-2018 09:48:34 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/a775d8d9-f956-4dcf-9542-c5e5f29db08f.jpg
y53f-hw7p-5a0y,1,Uwaso Narok stream,WB RM 15,128200003,26-09-2018 09:49:30 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/3f902ad0-73a2-456a-87b6-432e597331f2.jpg
350u-bdx7-v5t7,1,Muthengera dam,WB RM 15,119980005,26-09-2018 09:50:56 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/58395900-462d-4903-af6d-08fa013a707b.jpg
pvqg-nkhy-5y8w,1,Ol'arabel stream,WB RM 15,124300005,26-09-2018 09:51:40 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/cf43d46e-0f29-4b7a-aade-27bd82547d5d.jpg
uvye-t7y0-s3wv,1,Gatero Girls dam,WB RM 15,131930006,26-09-2018 09:53:19 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/69dd507e-c9d1-4397-ac4a-962d6dfb4bc9.jpg
u1rd-rjxj-k1xj,1,Karandi 1 Mangw'ano,WB RM 15,147700005,26-09-2018 09:54:52 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/65dc40c4-4c05-4a5f-a1b4-fea925ce2ee8.jpg
pnw2-975s-dgv5,1,Limunga dam,WB RM 15,119980007,26-09-2018 09:55:31 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/6242e3d5-dee1-48fd-b87c-6f7a00b143ba.jpg
mphr-c5sv-9j8v,1,Warero dam,WB RM 15,137780010,26-09-2018 09:56:14 UTC,M. Ngotho Muiruri,00:00:06,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/daacb09d-7ce3-47df-a1fb-a5f8d320ce6f.jpg
rpv1-0pd5-35es,1,Kinamba Catholic Dispensary Borehole,WB RM 15,131940010,26-09-2018 09:56:51 UTC,M. Ngotho Muiruri,00:00:04,,Intermediate Risk / Probably Safe,2.1,6.85,https://akvoflow-140.s3.amazonaws.com/images/f84295e9-dbef-4124-b59c-6e0c4015f649.jpg
7695-9mbn-d8wp,1,Gataracha dam,WB RM 15,140050003,26-09-2018 09:57:38 UTC,M. Ngotho Muiruri,00:00:02,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/f98ffb2b-3c2e-49dd-9be6-1b2499f30eee.jpg
t43c-3u3j-2vam,1,Kamunju dam,WB RM 15,133960006,26-09-2018 09:58:26 UTC,M. Ngotho Muiruri,00:00:05,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/5c91bb0a-e829-4b6b-8252-9f06bb0bc2bd.jpg
bvn5-ann3-xw82,1,Olmoran Dam,WB RM 5,147750079,28-09-2018 04:36:08 UTC,Mary Nyambura,00:00:12,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/386e03b1-c487-4374-982a-b6f590b4b96a.jpg
9der-80r0-a9jh,1,Pesi River,WB RM 5,149300004,28-09-2018 04:38:22 UTC,Mary Nyambura,00:00:04,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/e9fba5a7-1a95-420f-baa2-f6a41c8cde30.jpg
uxqx-cq9c-msqk,1,Mutara River,WB RM 5,137870037,28-09-2018 04:39:24 UTC,Mary Nyambura,00:00:05,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/a038987e-4248-4702-9a57-e1f204f7066c.jpg
csjd-39an-ypyf,1,kiamariga Borehole,WB RM 5,128210085,28-09-2018 04:40:15 UTC,Mary Nyambura,00:00:16,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/ae41405b-3f4f-4d68-a73d-15e39a91556e.jpg
e5v4-h2hq-ygnj,1,Dr Wachira sec School,WB RM 5,114420105,28-09-2018 04:44:20 UTC,Mary Nyambura,00:00:03,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/3b79ee0b-c52b-4f02-a58e-397bf8773964.jpg
cxb8-9784-yp7m,1,Ruai Dam-Mutara,WB RM 5,137910005,28-09-2018 04:45:15 UTC,Mary Nyambura,00:00:07,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/b9e58a91-dc54-4e00-90b8-f26abf9dd3fa.jpg
haq1-4mc5-ymke,1,Nyahururu Water &Sanitation Co- Rumuruti Scheme,WB RM 5,126210011,28-09-2018 04:46:39 UTC,Mary Nyambura,00:00:05,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/821d0300-ee50-4456-9c70-217fedffd7e8.jpg
54ts-7ghc-s6bq,1,G.G. Boys Sec school,WB RM 15,131980023,29-09-2018 13:08:15 UTC,M. Ngotho Muiruri,00:00:08,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/7ba5ac19-e5e4-4b61-a219-2d18c4758934.jpg
exkh-7g32-skwp,1,calvert spring,WB RM 15,117930027,29-09-2018 13:08:48 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/225e02b9-332f-477d-888b-42fe77713b08.jpg
s9b8-6b9w-08ew,1,uwaso nyiro stream,WB RM 15,134030029,29-09-2018 13:09:22 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/8145f243-ad92-4fbf-b588-d9644922557c.jpg
dkrt-fcxq-e8me,1,sironi dam,WB RM 15,130290028,29-09-2018 13:10:05 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/d5fa8fdc-693e-42ec-b6c2-b7474def7c76.jpg
f3r6-w5ha-16kw,1,Gatirima Kanini Dam,WB RM 5,128230072,29-09-2018 13:10:37 UTC,Mary Nyambura,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/b8049ed1-aec2-4d11-b1e5-3b02c0b357d2.jpg
eqmg-yy40-d0fm,1,hamuthioma dam,WB RM 15,136080023,29-09-2018 13:11:02 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/4d436c24-cd35-4aae-a045-c777d149c2c6.jpg
duqj-9ap1-fue5,1,G.G Boys Sec School,WB RM 5,136090089,29-09-2018 13:11:22 UTC,Mary Nyambura,00:00:06,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/931d2b86-debd-4b6c-8321-7f895f2c0442.jpg
rkx2-vkwf-1x4s,1,Gatirima dam,WB RM 15,136070030,29-09-2018 13:12:36 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/a7c6a94a-d3c7-4357-a69b-704767f9617d.jpg
2k1e-6rax-xb4t,1,mutamaiyu dam,WB RM 15,143620028,29-09-2018 13:14:26 UTC,M. Ngotho Muiruri,00:00:02,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/0a8b78fd-1978-440c-a038-5fcf1cb78dbb.jpg
7hyw-qtxd-src7,1,karaba dam,WB RM 15,130290031,30-09-2018 08:12:28 UTC,M. Ngotho Muiruri,00:00:04,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/b528df8c-ee70-4fe9-bb95-65cf0b27f0cf.jpg
7mwt-py3g-vv0x,1,Ng'arachi dam,WB RM 15,124320014,30-09-2018 08:13:12 UTC,M. Ngotho Muiruri,00:00:05,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/4f6955ce-3a62-4935-8af0-27f7dfa766c1.jpg
pa2k-98n4-u0bm,1,munyu spring,WB RM 15,136080026,30-09-2018 08:14:34 UTC,M. Ngotho Muiruri,00:00:04,,Intermediate Risk / Possibly Safe,5.6,17.14,https://akvoflow-140.s3.amazonaws.com/images/2301d1ab-00dc-4d3b-be3e-953a2c04ba64.jpg
fawf-pa64-bh01,1,Salama dam,WB RM 15,117930030,30-09-2018 09:36:03 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/87c251de-2d19-4cbd-832a-be8035141e0b.jpg
9bcn-1a17-38b4,1,Kaichakun spring,WB RM 15,149270020,30-09-2018 09:37:08 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/c067f292-066c-4a65-b77f-caf8bebe5d0a.jpg
uek3-99ym-w8h9,1,mahianyu dam,WB RM 15,137860038,30-09-2018 09:37:40 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/ddefde6c-3aa1-47ff-8f77-ad9ca6f2b8bd.jpg
3td5-65sg-jyr5,1,Gatami water prj,WB RM 15,130280043,01-10-2018 04:21:22 UTC,M. Ngotho Muiruri,00:00:05,,Intermediate Risk / Probably Safe,1.1,5.16,https://akvoflow-140.s3.amazonaws.com/images/429a7d98-911d-4a8e-a885-a062ffff37c2.jpg
1jt4-ujvf-mvt7,1,Laikipia University spring,WB RM 15,122230055,01-10-2018 04:22:14 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/a086db74-7cd6-4f8a-862c-7501721521f6.jpg
47tc-nh2n-rv66,1,Tairi Mbili Dam,WB RM 15,147750030,01-10-2018 04:22:48 UTC,M. Ngotho Muiruri,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/dcd443e0-de3e-4553-88be-5e85e66c9756.jpg
r82p-k5fm-paav,1,isaac dam,WB RM 15,112070004,01-10-2018 04:24:03 UTC,M. Ngotho Muiruri,00:00:03,,Intermediate Risk / Probably Safe,1.2,5.64,https://akvoflow-140.s3.amazonaws.com/images/ea89ab94-f16e-403e-8255-12b6a1934c77.jpg
h3uq-ekut-tt9v,1,645 water kiosk,WB RM 15,117930038,01-10-2018 05:09:49 UTC,M. Ngotho Muiruri,00:00:08,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/02b32a98-7e8e-4ac2-a8d1-61e776640424.jpg
bp1r-1yyr-vskn,1,Munyu Dam,WB RM 5,117920112,01-10-2018 13:20:15 UTC,Mary Nyambura,00:00:07,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/674f4214-2584-4ded-b2ec-7f6d69de0c0f.jpg
d71q-t4su-jv04,1,Munyu Borehole,WB RM 5,116190064,01-10-2018 13:20:52 UTC,Mary Nyambura,00:00:07,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/2cdb0e8b-0067-4ea8-8192-45a6f581f6cb.jpg
4w75-m7pf-s7v3,1,Salama Sec School,WB RM 5,130310076,01-10-2018 13:21:24 UTC,Mary Nyambura,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/4a69a698-4a0b-4baa-a5c6-2eef7b3fe777.jpg
4s6k-nty6-fu0s,1,senetwet dam,WB RM 5,134040095,01-10-2018 13:22:03 UTC,Mary Nyambura,00:00:03,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/57efccd6-d5db-4be6-83d7-f2915600e5bb.jpg
byrw-nhee-6gjw,1,Gashore spring,WB RM 5,122270048,01-10-2018 13:22:57 UTC,Mary Nyambura,00:00:03,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/7a7a03d5-037d-4263-9269-dc7ac347e791.jpg
hev1-1a86-3eaq,1,mahianyu well,WB RM 5,117920116,01-10-2018 13:23:40 UTC,Mary Nyambura,00:00:05,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/0fd5d526-4cc5-40d9-89c4-0ec64beec844.jpg
umj6-gu9v-2ndp,1,Nyahuwasco Water Supply,WB RM 5,130310081,01-10-2018 13:25:33 UTC,Mary Nyambura,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/d0aeb709-0ea0-4180-bce8-45ab63081611.jpg
6d5v-a4wu-6uu8,1,Njonjo Dam,WB RM 5,143650022,01-10-2018 13:26:34 UTC,Mary Nyambura,00:00:03,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/28046f69-94ab-4ea6-a7e7-9596e61bd452.jpg
m7mn-282e-ppm5,1,Igwamiti water project,WB RM 5,117930099,01-10-2018 13:27:10 UTC,Mary Nyambura,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/b2da05fc-2627-4d66-882e-3f049de1465b.jpg
d8sh-xb6u-8jg7,1,Maili saba Water kiosk,WB RM 5,143640045,01-10-2018 13:28:01 UTC,Mary Nyambura,00:00:06,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/dc7d046f-7c93-45fb-9602-3a7f00bd5c77.jpg
4avx-921x-qny,1,Gathima water Project,WB RM 5,126210020,01-10-2018 13:29:10 UTC,Mary Nyambura,00:00:03,,High Risk / Probably Unsafe,32.6,145.55,https://akvoflow-140.s3.amazonaws.com/images/16f58550-4a94-48a7-8922-886b0543cde7.jpg
271w-rxn4-h325,1,Ng'arachi River,WB RM 5,120000105,01-10-2018 13:30:30 UTC,Mary Nyambura,00:00:04,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/80df0879-a74a-46de-ac79-56f8c134f0bb.jpg
cpba-6u4c-vca1,1,jerusaem water cellar 2,WB RM 15,118090001,21-10-2018 06:20:30 UTC,M. Ngotho Muiruri,00:00:05,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/edac09f7-ee31-426f-9da1-2348e13c3e92.jpg
tbyf-xjbw-01y3,1,jerusalem water cellar 1,WB RM 15,145970001,21-10-2018 06:21:11 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/9ef25c9f-f313-4da9-a9f9-7663c1607a56.jpg
fcde-wttp-k1pc,1,ex erok borehole,WB RM 15,142370002,21-10-2018 06:22:01 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/8f18a8ab-f4fa-4755-9b27-69857be60757.jpg
5p3w-ud4t-v9s6,1,Nazarene church,WB RM 15,130450001,21-10-2018 06:22:51 UTC,M. Ngotho Muiruri,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/c1d30b9e-66a6-4e77-a4d9-725588096149.jpg
187y-s66a-cnwg,1,Munyaka center borehole,WB RM 15,118110003,21-10-2018 06:23:46 UTC,M. Ngotho Muiruri,00:00:06,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/fed8f3cf-03df-438a-b19e-694bba55af3e.jpg
gsev-u2ey-dwyh,1,segera munyaka dam,WB RM 15,149420001,21-10-2018 06:24:17 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/49d2d9c3-f325-4bd0-b9d4-72cd3a486a3b.jpg
2ekk-p5ry-v4wp,1,segera borehole,WB RM 15,147990007,21-10-2018 06:30:27 UTC,M. Ngotho Muiruri,00:00:07,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/bf5da1eb-96e3-436f-9b83-bd7e4374f15b.jpg
tusn-9hmp-3dx8,1,mutaro-gatarakwa irrigation project,WB RM 15,126400005,21-10-2018 06:31:37 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/a04c1181-6537-4463-972f-04f416bc8715.jpg
cp7r-q6mf-bu8m,1,munyaka kijito borehole,WB RM 15,149420002,21-10-2018 06:33:03 UTC,M. Ngotho Muiruri,00:00:04,,Intermediate Risk / Possibly Safe,4.7,22.75,https://akvoflow-140.s3.amazonaws.com/images/9a17f0fd-2769-4d40-a38a-ea965ba9e103.jpg
d55c-spvm-8a7u,1,Mwiremia water project,WB RM 15,149420005,21-10-2018 06:35:23 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/6330079f-4b2e-4918-9c2d-d8e864e43ebc.jpg
jw5g-4q8p-ndvb,1,ereri borehole,WB RM 15,142370006,21-10-2018 06:43:14 UTC,M. Ngotho Muiruri,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/7b8924c5-71ce-47ef-b125-b647f072b8cc.jpg
yuhe-aqqy-mbm0,1,tigithi water and sanitation,WB RM 15,145970003,21-10-2018 06:43:42 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/4cdae4e8-d149-48e5-8a41-116a7f18859c.jpg
134j-fq8s-jbx0,1,Endana water project,WB RM 15,126380004,21-10-2018 06:44:14 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/1e70276e-224b-43d2-8e69-46d9bab6dafe.jpg
rpu3-hp8m-fkdr,1,Munyaka borehole windmill,WB RM Monda,434920001,21-10-2018 11:35:27 UTC,Edson Monda,00:00:15,,Intermediate Risk / Probably Safe,1.5,7.81,https://akvoflow-140.s3.amazonaws.com/images/f45dbc56-e6f3-47fb-a85e-6a97754d0400.jpg
14m8-03eb-9h75,1,tumaini water project,WB RM 15,124460061,22-10-2018 15:11:17 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/221ff891-7cc2-4038-add2-f0bc81a2237e.jpg
muvx-yptc-hb6m,1,onturiri water project,WB RM 15,126400036,22-10-2018 15:11:55 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/559d7336-3e62-42a0-9153-03c4b5a9216c.jpg
4v8d-wrqk-g5uy,1,mukuri borehole,WB RM 15,130440045,22-10-2018 15:12:56 UTC,M. Ngotho Muiruri,00:00:03,,Intermediate Risk / Probably Safe,1.5,7.81,https://akvoflow-140.s3.amazonaws.com/images/20a121f6-f47d-4874-a333-6400f7152545.jpg
nu6y-m261-1bqx,1,ngobit water project,WB RM 15,118130001,24-10-2018 03:36:15 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/05558afb-4909-4abd-9e50-96bdda2c0b67.jpg
wbbs-hy7v-6g3f,1,gathima ka muhonia,WB RM 15,138100001,24-10-2018 03:37:58 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/8722382f-7147-4366-9780-4580b3bba3a2.jpg
dfm7-8mw2-dxg2,1,mutitu water and sanitation,WB RM 15,149450001,24-10-2018 03:38:27 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/b57bf560-af62-460e-9491-0f911ff9c4eb.jpg
t85y-mppu-kbsv,1,imenye dam,WB RM 15,140260025,24-10-2018 03:39:13 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/02623167-3687-41c4-9975-57cf516d1f0b.jpg
pu02-ng1b-bk0k,1,mwakinya water pan,WB RM 15,130490002,24-10-2018 03:39:53 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/52019caf-1285-4f64-952e-77b99284dda5.jpg
n18f-1444-u59y,1,gachoro spring,WB RM 15,134250003,24-10-2018 03:40:36 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/5955d4de-1b43-4803-9c13-7e2dade0dbc6.jpg
fnnp-bama-uaa5,1,mwiyogo,WB RM 15,138090002,24-10-2018 03:43:49 UTC,M. Ngotho Muiruri,00:00:02,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/94a6fc65-1542-4387-a1da-172ab9db27a3.jpg
rpu3-hp8m-fkdr,1,Munyaka borehole windmill,WB RM Monda,462530001,29-08-2019 12:34:16 UTC,Edson Monda,00:00:18,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/9c44ec57-51df-400d-9ce8-5e32d8ea3da0.jpg